locus_tag	ftype	length_bp	gene	EC_number	COG	product
JEPDNJAG_00001	CDS	675	spoIIAB	2.7.11.1		Anti-sigma F factor
JEPDNJAG_00002	CDS	369				hypothetical protein
JEPDNJAG_00003	CDS	768				hypothetical protein
JEPDNJAG_00004	CDS	744				hypothetical protein
JEPDNJAG_00005	CDS	288				hypothetical protein
JEPDNJAG_00006	CDS	1176				hypothetical protein
JEPDNJAG_00007	CDS	1050				hypothetical protein
JEPDNJAG_00008	CDS	1503	ypwA	3.4.17.19	COG2317	Carboxypeptidase 1
JEPDNJAG_00009	CDS	561				hypothetical protein
JEPDNJAG_00010	CDS	945				hypothetical protein
JEPDNJAG_00011	CDS	1497	gltX	6.1.1.17	COG0008	Glutamate--tRNA ligase
JEPDNJAG_00012	CDS	1227	dapL	2.6.1.83	COG0436	LL-diaminopimelate aminotransferase
JEPDNJAG_00013	CDS	300				hypothetical protein
JEPDNJAG_00014	CDS	591	nboR	1.1.1.328		Nicotine blue oxidoreductase
JEPDNJAG_00015	CDS	234				hypothetical protein
JEPDNJAG_00016	CDS	927	ccrM_1	2.1.1.72		DNA methyltransferase CcrM
JEPDNJAG_00017	CDS	879	prsA	5.2.1.8		Foldase protein PrsA
JEPDNJAG_00018	CDS	1365				hypothetical protein
JEPDNJAG_00019	CDS	978				hypothetical protein
JEPDNJAG_00020	CDS	666	fabV	1.3.1.9	COG3007	Enoyl-[acyl-carrier-protein] reductase [NADH] 1
JEPDNJAG_00021	CDS	534	gcvR		COG2716	Glycine cleavage system transcriptional repressor
JEPDNJAG_00022	CDS	879				hypothetical protein
JEPDNJAG_00023	CDS	1101				hypothetical protein
JEPDNJAG_00024	CDS	774				hypothetical protein
JEPDNJAG_00025	CDS	429				hypothetical protein
JEPDNJAG_00026	CDS	1017	adhT	1.1.1.1		Alcohol dehydrogenase
JEPDNJAG_00027	CDS	426				hypothetical protein
JEPDNJAG_00028	CDS	1197				hypothetical protein
JEPDNJAG_00029	CDS	354				hypothetical protein
JEPDNJAG_00030	CDS	1359	atsA_1	3.1.6.1		Arylsulfatase
JEPDNJAG_00031	CDS	264				hypothetical protein
JEPDNJAG_00032	CDS	450				hypothetical protein
JEPDNJAG_00033	CDS	177				hypothetical protein
JEPDNJAG_00034	CDS	291				hypothetical protein
JEPDNJAG_00035	CDS	729				hypothetical protein
JEPDNJAG_00036	CDS	708				hypothetical protein
JEPDNJAG_00037	CDS	381				hypothetical protein
JEPDNJAG_00038	CDS	117				hypothetical protein
JEPDNJAG_00039	CDS	684				hypothetical protein
JEPDNJAG_00040	CDS	237				hypothetical protein
JEPDNJAG_00041	CDS	1365		2.1.1.72		Type II methyltransferase M.Eco57I
JEPDNJAG_00042	CDS	774				hypothetical protein
JEPDNJAG_00043	CDS	2976	ycf3			Photosystem I assembly protein Ycf3
JEPDNJAG_00044	CDS	570				hypothetical protein
JEPDNJAG_00045	CDS	1407				hypothetical protein
JEPDNJAG_00046	CDS	1263				hypothetical protein
JEPDNJAG_00047	CDS	732	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
JEPDNJAG_00048	CDS	672				hypothetical protein
JEPDNJAG_00049	CDS	507				hypothetical protein
JEPDNJAG_00050	CDS	711			COG1459	Type IV pilus assembly protein PilC
JEPDNJAG_00051	CDS	1434				hypothetical protein
JEPDNJAG_00052	CDS	981	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
JEPDNJAG_00053	CDS	309				hypothetical protein
JEPDNJAG_00054	CDS	1059	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
JEPDNJAG_00055	CDS	1185				hypothetical protein
JEPDNJAG_00056	CDS	258				hypothetical protein
JEPDNJAG_00057	CDS	1173				hypothetical protein
JEPDNJAG_00058	CDS	684				hypothetical protein
JEPDNJAG_00059	CDS	489				hypothetical protein
JEPDNJAG_00060	CDS	1497	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
JEPDNJAG_00061	CDS	534				hypothetical protein
JEPDNJAG_00062	CDS	486	purE_1	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
JEPDNJAG_00063	CDS	1182	icd	1.1.1.42	COG0473	Isocitrate dehydrogenase [NADP]
JEPDNJAG_00064	CDS	786	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
JEPDNJAG_00065	CDS	708	ideR		COG1321	Iron-dependent repressor IdeR
JEPDNJAG_00066	CDS	363	rsbV		COG1366	Anti-sigma-B factor antagonist
JEPDNJAG_00067	CDS	291	xseB	3.1.11.6		Exodeoxyribonuclease 7 small subunit
JEPDNJAG_00068	CDS	390	xseA	3.1.11.6		Exodeoxyribonuclease 7 large subunit
JEPDNJAG_00069	CDS	276				hypothetical protein
JEPDNJAG_00070	CDS	1203	metE_1	2.1.1.14		5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
JEPDNJAG_00071	CDS	1899	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
JEPDNJAG_00072	CDS	321	cheB2_1	3.1.1.61		Protein-glutamate methylesterase/protein-glutamine glutaminase 2
JEPDNJAG_00073	CDS	1404				hypothetical protein
JEPDNJAG_00074	CDS	912				hypothetical protein
JEPDNJAG_00075	CDS	297				hypothetical protein
JEPDNJAG_00076	CDS	321	pyrC	3.5.2.3	COG0044	Dihydroorotase
JEPDNJAG_00077	CDS	1092	carA	6.3.5.5		Carbamoyl phosphate synthase small chain
JEPDNJAG_00078	CDS	318				hypothetical protein
JEPDNJAG_00079	CDS	1599				hypothetical protein
JEPDNJAG_00080	CDS	978				hypothetical protein
JEPDNJAG_00081	CDS	855				hypothetical protein
JEPDNJAG_00082	CDS	198				hypothetical protein
JEPDNJAG_00083	CDS	486				hypothetical protein
JEPDNJAG_00084	CDS	813	cya	4.6.1.1	COG2114	Adenylate cyclase
JEPDNJAG_00085	CDS	450				hypothetical protein
JEPDNJAG_00086	CDS	159				hypothetical protein
JEPDNJAG_00087	CDS	345				hypothetical protein
JEPDNJAG_00088	CDS	330				hypothetical protein
JEPDNJAG_00089	CDS	294				hypothetical protein
JEPDNJAG_00090	CDS	423				hypothetical protein
JEPDNJAG_00091	CDS	759	kynB_1	3.5.1.9		Kynurenine formamidase
JEPDNJAG_00092	CDS	915				hypothetical protein
JEPDNJAG_00093	CDS	732	apaH_1	3.6.1.41		Bis(5'-nucleosyl)-tetraphosphatase, symmetrical
JEPDNJAG_00094	CDS	1818	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
JEPDNJAG_00095	CDS	504				hypothetical protein
JEPDNJAG_00096	CDS	369				hypothetical protein
JEPDNJAG_00097	CDS	243				hypothetical protein
JEPDNJAG_00098	CDS	264				hypothetical protein
JEPDNJAG_00099	CDS	300				hypothetical protein
JEPDNJAG_00100	CDS	168				hypothetical protein
JEPDNJAG_00101	CDS	600				hypothetical protein
JEPDNJAG_00102	CDS	459				hypothetical protein
JEPDNJAG_00103	CDS	669	degU_1		COG2197	Transcriptional regulatory protein DegU
JEPDNJAG_00104	CDS	237				hypothetical protein
JEPDNJAG_00105	CDS	2001	dpp5	3.4.14.-	COG0823	Dipeptidyl-peptidase 5
JEPDNJAG_00106	CDS	840				hypothetical protein
JEPDNJAG_00107	CDS	1146	axe1-6A		COG2382	Carbohydrate acetyl esterase/feruloyl esterase
JEPDNJAG_00108	CDS	285	ppiB	5.2.1.8	COG0652	putative peptidyl-prolyl cis-trans isomerase
JEPDNJAG_00109	CDS	1041				hypothetical protein
JEPDNJAG_00110	CDS	222				hypothetical protein
JEPDNJAG_00111	CDS	276				hypothetical protein
JEPDNJAG_00112	CDS	312				hypothetical protein
JEPDNJAG_00113	CDS	339				hypothetical protein
JEPDNJAG_00114	CDS	705				hypothetical protein
JEPDNJAG_00115	CDS	435				hypothetical protein
JEPDNJAG_00116	CDS	348				hypothetical protein
JEPDNJAG_00117	CDS	915				hypothetical protein
JEPDNJAG_00118	CDS	2832	lapB_1			Lipopolysaccharide assembly protein B
JEPDNJAG_00119	CDS	1053				hypothetical protein
JEPDNJAG_00120	CDS	951	ubiE_1	2.1.1.163		Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
JEPDNJAG_00121	CDS	948	ahcY	3.13.2.1	COG0499	Adenosylhomocysteinase
JEPDNJAG_00122	CDS	696				hypothetical protein
JEPDNJAG_00123	CDS	273				hypothetical protein
JEPDNJAG_00124	CDS	582				hypothetical protein
JEPDNJAG_00125	CDS	1209				hypothetical protein
JEPDNJAG_00126	CDS	765				hypothetical protein
JEPDNJAG_00127	CDS	501				hypothetical protein
JEPDNJAG_00128	CDS	1083				hypothetical protein
JEPDNJAG_00129	CDS	291				hypothetical protein
JEPDNJAG_00130	CDS	3021				hypothetical protein
JEPDNJAG_00131	CDS	378				hypothetical protein
JEPDNJAG_00132	CDS	222				hypothetical protein
JEPDNJAG_00133	CDS	981				hypothetical protein
JEPDNJAG_00134	CDS	198	gabD	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)]
JEPDNJAG_00135	CDS	1143				hypothetical protein
JEPDNJAG_00136	CDS	228				hypothetical protein
JEPDNJAG_00137	CDS	846	pckA_1	4.1.1.49	COG1866	Phosphoenolpyruvate carboxykinase (ATP)
JEPDNJAG_00138	CDS	900				hypothetical protein
JEPDNJAG_00139	CDS	1167	mdtG			Multidrug resistance protein MdtG
JEPDNJAG_00140	CDS	723	ddpX_1	3.4.13.22		D-alanyl-D-alanine dipeptidase
JEPDNJAG_00141	CDS	405				hypothetical protein
JEPDNJAG_00142	CDS	1179				hypothetical protein
JEPDNJAG_00143	CDS	204				hypothetical protein
JEPDNJAG_00144	CDS	318				hypothetical protein
JEPDNJAG_00145	CDS	618				hypothetical protein
JEPDNJAG_00146	CDS	291				hypothetical protein
JEPDNJAG_00147	CDS	183				hypothetical protein
JEPDNJAG_00148	CDS	1302				hypothetical protein
JEPDNJAG_00149	CDS	891	lacF_1			Lactose transport system permease protein LacF
JEPDNJAG_00150	CDS	1005	qorA	1.6.5.5	COG0604	Quinone oxidoreductase 1
JEPDNJAG_00151	CDS	828				hypothetical protein
JEPDNJAG_00152	CDS	1170				hypothetical protein
JEPDNJAG_00153	CDS	282				hypothetical protein
JEPDNJAG_00154	CDS	120				hypothetical protein
JEPDNJAG_00155	CDS	1506	crtN	1.3.8.2		4,4'-diapophytoene desaturase (4,4'-diapolycopene-forming)
JEPDNJAG_00156	CDS	930	gsiC		COG0601	Glutathione transport system permease protein GsiC
JEPDNJAG_00157	CDS	660	aat	2.3.2.6	COG2360	Leucyl/phenylalanyl-tRNA--protein transferase
JEPDNJAG_00158	CDS	1170	dapE_1	3.5.1.18		putative succinyl-diaminopimelate desuccinylase
JEPDNJAG_00159	CDS	597	sigM		COG1595	ECF RNA polymerase sigma factor SigM
JEPDNJAG_00160	CDS	846				hypothetical protein
JEPDNJAG_00161	CDS	1080				hypothetical protein
JEPDNJAG_00162	CDS	918				hypothetical protein
JEPDNJAG_00163	CDS	144				hypothetical protein
JEPDNJAG_00164	CDS	765	carC	3.7.1.13		2-hydroxy-6-oxo-6-(2'-aminophenyl)hexa-2,4-dienoic acid hydrolase
JEPDNJAG_00165	CDS	768	bacC_1	1.1.1.385	COG1028	Dihydroanticapsin 7-dehydrogenase
JEPDNJAG_00166	CDS	402				hypothetical protein
JEPDNJAG_00167	CDS	693				hypothetical protein
JEPDNJAG_00168	CDS	393				hypothetical protein
JEPDNJAG_00169	CDS	699				hypothetical protein
JEPDNJAG_00170	CDS	1407				hypothetical protein
JEPDNJAG_00171	CDS	2925				hypothetical protein
JEPDNJAG_00172	CDS	288				hypothetical protein
JEPDNJAG_00173	CDS	759				hypothetical protein
JEPDNJAG_00174	CDS	171				hypothetical protein
JEPDNJAG_00175	CDS	447				hypothetical protein
JEPDNJAG_00176	CDS	324				hypothetical protein
JEPDNJAG_00177	CDS	1446				hypothetical protein
