locus_tag	ftype	length_bp	gene	EC_number	COG	product
PMKMDMIJ_00001	CDS	1122				hypothetical protein
PMKMDMIJ_00002	CDS	1647	aruI	4.1.1.75		putative 2-ketoarginine decarboxylase AruI
PMKMDMIJ_00003	CDS	279				hypothetical protein
PMKMDMIJ_00004	CDS	123				hypothetical protein
PMKMDMIJ_00005	CDS	513				hypothetical protein
PMKMDMIJ_00006	CDS	1110				hypothetical protein
PMKMDMIJ_00007	CDS	414				hypothetical protein
PMKMDMIJ_00008	CDS	618				hypothetical protein
PMKMDMIJ_00009	CDS	1113		3.1.6.-	COG3119	Ulvan-active sulfatase
PMKMDMIJ_00010	CDS	1197	dinB	2.7.7.7		DNA polymerase IV
PMKMDMIJ_00011	CDS	297				hypothetical protein
PMKMDMIJ_00012	CDS	234				hypothetical protein
PMKMDMIJ_00013	CDS	348				hypothetical protein
PMKMDMIJ_00014	CDS	561	apt	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
PMKMDMIJ_00015	CDS	225				hypothetical protein
PMKMDMIJ_00016	CDS	792	ssuD_1	1.14.14.5		Alkanesulfonate monooxygenase
PMKMDMIJ_00017	CDS	1269	dnaE2	2.7.7.7	COG0587	Error-prone DNA polymerase
PMKMDMIJ_00018	CDS	855				hypothetical protein
PMKMDMIJ_00019	CDS	1554	bicA		COG0659	Bicarbonate transporter BicA
PMKMDMIJ_00020	tRNA	75				tRNA-Lys(ctt)
PMKMDMIJ_00021	CDS	312				hypothetical protein
PMKMDMIJ_00022	CDS	1233	dapE	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
PMKMDMIJ_00023	CDS	219				hypothetical protein
PMKMDMIJ_00024	CDS	1785				hypothetical protein
PMKMDMIJ_00025	CDS	363		4.2.1.96		Putative pterin-4-alpha-carbinolamine dehydratase
PMKMDMIJ_00026	CDS	414				hypothetical protein
PMKMDMIJ_00027	CDS	1458	pyk	2.7.1.40		Pyruvate kinase
PMKMDMIJ_00028	CDS	1203	eis	2.3.1.-		N-acetyltransferase Eis
PMKMDMIJ_00029	CDS	1332				hypothetical protein
PMKMDMIJ_00030	CDS	1728	tolB			Tol-Pal system protein TolB
PMKMDMIJ_00031	CDS	423				hypothetical protein
PMKMDMIJ_00032	CDS	798				hypothetical protein
PMKMDMIJ_00033	CDS	636				hypothetical protein
PMKMDMIJ_00034	CDS	891	rbsA	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
PMKMDMIJ_00035	CDS	1032	rbsC_1		COG1172	Ribose import permease protein RbsC
PMKMDMIJ_00036	CDS	990	rbsC_2		COG1172	Ribose import permease protein RbsC
PMKMDMIJ_00037	CDS	543				hypothetical protein
PMKMDMIJ_00038	CDS	375				hypothetical protein
PMKMDMIJ_00039	CDS	474				hypothetical protein
PMKMDMIJ_00040	CDS	441				hypothetical protein
PMKMDMIJ_00041	CDS	294				hypothetical protein
PMKMDMIJ_00042	CDS	438				hypothetical protein
PMKMDMIJ_00043	CDS	279				hypothetical protein
PMKMDMIJ_00044	CDS	813	uup_1	3.6.1.-		ATP-binding protein Uup
PMKMDMIJ_00045	CDS	492				hypothetical protein
PMKMDMIJ_00046	CDS	168				hypothetical protein
PMKMDMIJ_00047	CDS	738				hypothetical protein
PMKMDMIJ_00048	CDS	843	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
PMKMDMIJ_00049	CDS	1110	mltG	4.2.2.29	COG1559	Endolytic murein transglycosylase
PMKMDMIJ_00050	CDS	945	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
PMKMDMIJ_00051	CDS	1044	ahcY	3.13.2.1	COG0499	Adenosylhomocysteinase
PMKMDMIJ_00052	CDS	1239	metK	2.5.1.6		S-adenosylmethionine synthase
PMKMDMIJ_00053	CDS	429				hypothetical protein
PMKMDMIJ_00054	CDS	1287	lhpI	4.2.1.171		Cis-3-hydroxy-L-proline dehydratase
PMKMDMIJ_00055	CDS	324				hypothetical protein
PMKMDMIJ_00056	CDS	1287				hypothetical protein
PMKMDMIJ_00057	CDS	1653		3.2.1.1		Alpha-amylase
PMKMDMIJ_00058	CDS	762	yiiM		COG2258	Protein YiiM
PMKMDMIJ_00059	CDS	585	puuR		COG1396	HTH-type transcriptional regulator PuuR
PMKMDMIJ_00060	CDS	336				hypothetical protein
PMKMDMIJ_00061	CDS	600				hypothetical protein
PMKMDMIJ_00062	CDS	309				hypothetical protein
PMKMDMIJ_00063	CDS	684	argE_1	3.5.1.16		Acetylornithine deacetylase
PMKMDMIJ_00064	CDS	930	ycjO_1		COG1175	Inner membrane ABC transporter permease protein YcjO
PMKMDMIJ_00065	CDS	912	ycjP_1		COG0395	Inner membrane ABC transporter permease protein YcjP
PMKMDMIJ_00066	CDS	993		1.1.1.81	COG1052	Hydroxypyruvate reductase
PMKMDMIJ_00067	CDS	1182	map_1	3.4.11.18		Methionine aminopeptidase
PMKMDMIJ_00068	CDS	1029	acoA_1	1.1.1.-	COG1071	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha
