locus_tag	ftype	length_bp	gene	EC_number	COG	product
BFNNGOFM_00001	CDS	1500	mrdA_1	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
BFNNGOFM_00002	CDS	1113	mrdB	2.4.99.28	COG0772	Peptidoglycan glycosyltransferase MrdB
BFNNGOFM_00003	CDS	1206				hypothetical protein
BFNNGOFM_00004	CDS	159				hypothetical protein
BFNNGOFM_00005	CDS	1272				hypothetical protein
BFNNGOFM_00006	CDS	546	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
BFNNGOFM_00007	CDS	1140	cefD_1	5.1.1.17	COG0520	Isopenicillin N epimerase
BFNNGOFM_00008	CDS	1305	egtB	1.14.99.50	COG1262	Hercynine oxygenase
BFNNGOFM_00009	CDS	963	egtD	2.1.1.44	COG4301	Histidine N-alpha-methyltransferase
BFNNGOFM_00010	CDS	735	rosB_1	2.6.1.114	COG0655	8-demethyl-8-aminoriboflavin-5'-phosphate synthase
BFNNGOFM_00011	CDS	966		1.18.1.2		Ferredoxin--NADP reductase
BFNNGOFM_00012	CDS	237				hypothetical protein
BFNNGOFM_00013	CDS	90				hypothetical protein
BFNNGOFM_00014	CDS	348				hypothetical protein
BFNNGOFM_00015	CDS	378	ruvB	3.6.4.-	COG2255	Holliday junction branch migration complex subunit RuvB
BFNNGOFM_00016	CDS	429	ybgC	3.1.2.-	COG0824	Acyl-CoA thioesterase YbgC
BFNNGOFM_00017	CDS	777	tolQ		COG0811	Tol-Pal system protein TolQ
BFNNGOFM_00018	CDS	405	spoT		COG0317	Bifunctional (p)ppGpp synthase/hydrolase SpoT
BFNNGOFM_00019	CDS	384	ridA	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
BFNNGOFM_00020	CDS	2124	recG	5.6.2.4	COG1200	ATP-dependent DNA helicase RecG
BFNNGOFM_00021	CDS	903				hypothetical protein
BFNNGOFM_00022	CDS	681				hypothetical protein
BFNNGOFM_00023	CDS	1416				hypothetical protein
BFNNGOFM_00024	CDS	996	uup_1	3.6.1.-		ATP-binding protein Uup
BFNNGOFM_00025	CDS	1728				hypothetical protein
BFNNGOFM_00026	CDS	1056	idiA		COG1840	Iron deficiency-induced protein A
BFNNGOFM_00027	CDS	171				hypothetical protein
BFNNGOFM_00028	CDS	1041	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
BFNNGOFM_00029	CDS	435			COG1522	HTH-type transcriptional regulator
BFNNGOFM_00030	CDS	519	phoR	2.7.13.3	COG5002	Phosphate regulon sensor protein PhoR
BFNNGOFM_00031	CDS	2184	ppk	2.7.4.1		Polyphosphate kinase
BFNNGOFM_00032	CDS	1539	ppx	3.6.1.11	COG0248	Exopolyphosphatase
BFNNGOFM_00033	CDS	123				hypothetical protein
BFNNGOFM_00034	CDS	2196	prc	3.4.21.102	COG0793	Tail-specific protease
BFNNGOFM_00035	CDS	258		1.1.1.47		Glucose 1-dehydrogenase
BFNNGOFM_00036	CDS	834				hypothetical protein
BFNNGOFM_00037	CDS	495	folK_1	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
BFNNGOFM_00038	CDS	1320	ybdG		COG0668	Mechanosensing system component YbdG
BFNNGOFM_00039	CDS	387	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
BFNNGOFM_00040	CDS	822	tsaD	2.3.1.234		tRNA N6-adenosine threonylcarbamoyltransferase
BFNNGOFM_00041	CDS	252				hypothetical protein
BFNNGOFM_00042	CDS	276				hypothetical protein
BFNNGOFM_00043	CDS	726				hypothetical protein
BFNNGOFM_00044	CDS	1008				hypothetical protein
BFNNGOFM_00045	CDS	306				hypothetical protein
BFNNGOFM_00046	CDS	777				hypothetical protein
BFNNGOFM_00047	CDS	684				hypothetical protein
BFNNGOFM_00048	CDS	270				hypothetical protein
BFNNGOFM_00049	CDS	1422	pltA	1.14.19.56	COG0644	1H-pyrrole-2-carbonyl-[peptidyl-carrier protein] chlorinase
BFNNGOFM_00050	CDS	1029				hypothetical protein
BFNNGOFM_00051	CDS	249				hypothetical protein
BFNNGOFM_00052	CDS	768				hypothetical protein
BFNNGOFM_00053	CDS	786				hypothetical protein
BFNNGOFM_00054	CDS	726				hypothetical protein
BFNNGOFM_00055	CDS	1080				hypothetical protein
BFNNGOFM_00056	CDS	450				hypothetical protein
BFNNGOFM_00057	CDS	609				hypothetical protein
BFNNGOFM_00058	CDS	1101				hypothetical protein
BFNNGOFM_00059	CDS	903	phzF1	5.3.3.17		Trans-2,3-dihydro-3-hydroxyanthranilate isomerase
BFNNGOFM_00060	CDS	1149	nfdA	3.5.1.91		N-substituted formamide deformylase
BFNNGOFM_00061	CDS	2385				hypothetical protein
BFNNGOFM_00062	CDS	762				hypothetical protein
BFNNGOFM_00063	CDS	696	fpr	1.18.1.2		Ferredoxin--NADP reductase
BFNNGOFM_00064	CDS	786				hypothetical protein
BFNNGOFM_00065	CDS	495	gpx1	1.11.1.22	COG0386	Hydroperoxy fatty acid reductase gpx1
BFNNGOFM_00066	CDS	1158	mdtA_1		COG0845	Multidrug resistance protein MdtA
BFNNGOFM_00067	CDS	372				hypothetical protein
BFNNGOFM_00068	CDS	441				hypothetical protein
BFNNGOFM_00069	CDS	312				hypothetical protein
BFNNGOFM_00070	CDS	720				hypothetical protein
BFNNGOFM_00071	CDS	1194	lpoA			Penicillin-binding protein activator LpoA
BFNNGOFM_00072	CDS	390				hypothetical protein
BFNNGOFM_00073	CDS	957	thiL	2.7.4.16		Thiamine-monophosphate kinase
