locus_tag	ftype	length_bp	gene	EC_number	COG	product
FKKBDLKM_00001	CDS	855	rpsB		COG0052	Small ribosomal subunit protein uS2
FKKBDLKM_00002	CDS	930	tsf		COG0264	Elongation factor Ts
FKKBDLKM_00003	CDS	717	pyrH	2.7.4.22	COG0528	Uridylate kinase
FKKBDLKM_00004	CDS	564	frr		COG0233	Ribosome-recycling factor
FKKBDLKM_00005	CDS	759	uppS	2.5.1.-	COG0020	Isoprenyl transferase
FKKBDLKM_00006	CDS	849				hypothetical protein
FKKBDLKM_00007	CDS	1269	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
FKKBDLKM_00008	CDS	1152	mmpA	3.4.24.-	COG0750	Metalloprotease MmpA
FKKBDLKM_00009	CDS	417	ctb		COG2346	Group 3 truncated hemoglobin ctb
FKKBDLKM_00010	CDS	570	hin_1			DNA-invertase hin
FKKBDLKM_00011	CDS	402	hmrR_1			HTH-type transcriptional regulator HmrR
FKKBDLKM_00012	CDS	414				hypothetical protein
FKKBDLKM_00013	CDS	603	chrA1			Chromate transport protein
FKKBDLKM_00014	CDS	534	chrA			Chromate transport protein
FKKBDLKM_00015	CDS	501				hypothetical protein
FKKBDLKM_00016	CDS	1569				hypothetical protein
FKKBDLKM_00017	CDS	795	thyA	2.1.1.45	COG0207	Thymidylate synthase
FKKBDLKM_00018	CDS	555	dhfrIII	1.5.1.3		Dihydrofolate reductase type 3
FKKBDLKM_00019	CDS	1149	hflK		COG0330	Modulator of FtsH protease HflK
FKKBDLKM_00020	CDS	900	hflC		COG0330	Modulator of FtsH protease HflC
FKKBDLKM_00021	CDS	201				hypothetical protein
FKKBDLKM_00022	CDS	258				hypothetical protein
FKKBDLKM_00023	CDS	546				hypothetical protein
FKKBDLKM_00024	CDS	657	pgsA_1	2.7.8.5	COG0558	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
FKKBDLKM_00025	CDS	252				hypothetical protein
FKKBDLKM_00026	CDS	468	moaE	2.8.1.12	COG0314	Molybdopterin synthase catalytic subunit
FKKBDLKM_00027	CDS	966	prmB	2.1.1.298	COG2890	Ribosomal protein uL3 glutamine methyltransferase
FKKBDLKM_00028	CDS	351				hypothetical protein
FKKBDLKM_00029	CDS	1014	kdsD	5.3.1.13		Arabinose 5-phosphate isomerase KdsD
FKKBDLKM_00030	CDS	1755				hypothetical protein
FKKBDLKM_00031	CDS	1608				hypothetical protein
FKKBDLKM_00032	CDS	1458	gltD	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
FKKBDLKM_00033	CDS	4749	gltB	1.4.7.1	COG0067	Ferredoxin-dependent glutamate synthase 1
FKKBDLKM_00034	CDS	711				hypothetical protein
FKKBDLKM_00035	CDS	1266	nhaP			Na(+)/H(+) antiporter NhaP
FKKBDLKM_00036	CDS	399				hypothetical protein
FKKBDLKM_00037	CDS	1374			COG4325	putative protein
FKKBDLKM_00038	CDS	480	ibpA_1		COG0071	Small heat shock protein IbpA
FKKBDLKM_00039	CDS	948	pldB_1	3.1.1.5	COG2267	Lysophospholipase L2
FKKBDLKM_00040	CDS	177				hypothetical protein
FKKBDLKM_00041	CDS	255				hypothetical protein
FKKBDLKM_00042	CDS	1830	pepN	3.4.11.2		Aminopeptidase N
FKKBDLKM_00043	CDS	624				hypothetical protein
FKKBDLKM_00044	CDS	750				hypothetical protein
FKKBDLKM_00045	CDS	189				hypothetical protein
FKKBDLKM_00046	CDS	657				hypothetical protein
FKKBDLKM_00047	CDS	966				hypothetical protein
FKKBDLKM_00048	CDS	444	hisN_1	3.1.3.15	COG0483	Histidinol-phosphatase
FKKBDLKM_00049	CDS	312	hisN_2	3.1.3.15	COG0483	Histidinol-phosphatase
FKKBDLKM_00050	CDS	117				hypothetical protein
FKKBDLKM_00051	CDS	207				hypothetical protein
FKKBDLKM_00052	CDS	888	hutG	3.5.1.68		N-formylglutamate deformylase
FKKBDLKM_00053	CDS	360	cpdR_1			Response regulator receiver protein CpdR
FKKBDLKM_00054	tRNA	75				tRNA-Val(gac)
FKKBDLKM_00055	CDS	282				hypothetical protein
FKKBDLKM_00056	CDS	837				hypothetical protein
FKKBDLKM_00057	CDS	297	gyrB_1	5.6.2.2		DNA gyrase subunit B
FKKBDLKM_00058	CDS	2097				hypothetical protein
FKKBDLKM_00059	CDS	342				hypothetical protein
FKKBDLKM_00060	CDS	1686				hypothetical protein
FKKBDLKM_00061	CDS	669				hypothetical protein
FKKBDLKM_00062	CDS	204				hypothetical protein
FKKBDLKM_00063	tRNA	77				tRNA-Arg(ccg)
FKKBDLKM_00064	CDS	90				hypothetical protein
FKKBDLKM_00065	CDS	1704	kdpA_1		COG2060	Potassium-transporting ATPase potassium-binding subunit
FKKBDLKM_00066	CDS	279				hypothetical protein
FKKBDLKM_00067	CDS	240				hypothetical protein
FKKBDLKM_00068	CDS	1947				hypothetical protein
FKKBDLKM_00069	CDS	390				hypothetical protein
FKKBDLKM_00070	CDS	1494				hypothetical protein
FKKBDLKM_00071	CDS	909				hypothetical protein
FKKBDLKM_00072	CDS	750				hypothetical protein
FKKBDLKM_00073	CDS	210				hypothetical protein
FKKBDLKM_00074	CDS	294				hypothetical protein
FKKBDLKM_00075	CDS	468	arsC_1	1.20.4.4	COG0394	Arsenate reductase
FKKBDLKM_00076	CDS	705		3.6.1.9		dTTP/UTP pyrophosphatase
FKKBDLKM_00077	tRNA	76				tRNA-Phe(gaa)
FKKBDLKM_00078	CDS	288				hypothetical protein
FKKBDLKM_00079	CDS	123				hypothetical protein
FKKBDLKM_00080	CDS	204				hypothetical protein
FKKBDLKM_00081	CDS	969				hypothetical protein
FKKBDLKM_00082	CDS	852	focA_1		COG2116	Formate channel FocA
FKKBDLKM_00083	CDS	1737	pknD_1	2.7.11.1		Serine/threonine-protein kinase PknD
FKKBDLKM_00084	CDS	1368	dctM_1			C4-dicarboxylate TRAP transporter large permease protein DctM
FKKBDLKM_00085	CDS	549				hypothetical protein
FKKBDLKM_00086	CDS	903		3.8.1.3	COG0596	Fluoroacetate dehalogenase
FKKBDLKM_00087	CDS	447	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
FKKBDLKM_00088	CDS	2115				hypothetical protein
