locus_tag	ftype	length_bp	gene	EC_number	COG	product
BNMCHMFH_00001	CDS	1659			COG4771	TonB-dependent receptor P3
BNMCHMFH_00002	CDS	1788				hypothetical protein
BNMCHMFH_00003	CDS	915	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
BNMCHMFH_00004	CDS	693				hypothetical protein
BNMCHMFH_00005	CDS	1047	hemE	4.1.1.37		Uroporphyrinogen decarboxylase
BNMCHMFH_00006	CDS	408				hypothetical protein
BNMCHMFH_00007	CDS	279				hypothetical protein
BNMCHMFH_00008	CDS	732	ald	1.4.1.1		Alanine dehydrogenase
BNMCHMFH_00009	CDS	624	drrA3	7.6.2.2		Daunorubicin resistance ATP-binding protein DrrA3
BNMCHMFH_00010	CDS	843	lpxA	2.3.1.129		Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
BNMCHMFH_00011	CDS	1449	lpxC	3.5.1.108		UDP-3-O-acyl-N-acetylglucosamine deacetylase
BNMCHMFH_00012	CDS	903				hypothetical protein
BNMCHMFH_00013	CDS	903	cysL		COG0583	HTH-type transcriptional regulator CysL
BNMCHMFH_00014	CDS	1182	thrC	4.2.3.1	COG0498	Threonine synthase
BNMCHMFH_00015	CDS	1218				hypothetical protein
BNMCHMFH_00016	CDS	1569	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
BNMCHMFH_00017	CDS	279				hypothetical protein
BNMCHMFH_00018	CDS	786	phnP	3.1.4.55	COG1235	Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase
BNMCHMFH_00019	CDS	993				hypothetical protein
BNMCHMFH_00020	CDS	1143	acdA_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
BNMCHMFH_00021	CDS	180				hypothetical protein
BNMCHMFH_00022	CDS	1239	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
BNMCHMFH_00023	CDS	651	clpP_1	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
BNMCHMFH_00024	CDS	699	clpP_2	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
BNMCHMFH_00025	CDS	975				hypothetical protein
BNMCHMFH_00026	CDS	1341				hypothetical protein
BNMCHMFH_00027	CDS	309	clpS			ATP-dependent Clp protease adapter protein ClpS
BNMCHMFH_00028	tRNA	76				tRNA-Val(tac)
BNMCHMFH_00029	CDS	483				hypothetical protein
BNMCHMFH_00030	CDS	900	corA		COG0598	Cobalt/magnesium transport protein CorA
BNMCHMFH_00031	CDS	756				hypothetical protein
BNMCHMFH_00032	CDS	552				hypothetical protein
BNMCHMFH_00033	CDS	366				hypothetical protein
BNMCHMFH_00034	CDS	873				hypothetical protein
BNMCHMFH_00035	CDS	279				hypothetical protein
BNMCHMFH_00036	CDS	279				hypothetical protein
BNMCHMFH_00037	CDS	783				hypothetical protein
BNMCHMFH_00038	CDS	1890	ltaS		COG1368	Lipoteichoic acid synthase
BNMCHMFH_00039	CDS	732				hypothetical protein
BNMCHMFH_00040	CDS	501				hypothetical protein
BNMCHMFH_00041	CDS	816				hypothetical protein
BNMCHMFH_00042	CDS	1602	nadB	1.4.3.16		L-aspartate oxidase
BNMCHMFH_00043	CDS	912	lpxL_1	2.3.1.241		Lipid A biosynthesis lauroyltransferase
BNMCHMFH_00044	CDS	1404	gloB_1	3.1.2.6		Hydroxyacylglutathione hydrolase
BNMCHMFH_00045	CDS	345				hypothetical protein
BNMCHMFH_00046	CDS	675	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
BNMCHMFH_00047	CDS	381	ridA_1	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
BNMCHMFH_00048	CDS	1194	kbl	2.3.1.29	COG0156	2-amino-3-ketobutyrate coenzyme A ligase
BNMCHMFH_00049	CDS	207				hypothetical protein
BNMCHMFH_00050	CDS	486	sigE_1			ECF RNA polymerase sigma factor SigE
BNMCHMFH_00051	CDS	1128				hypothetical protein
BNMCHMFH_00052	CDS	855				hypothetical protein
BNMCHMFH_00053	CDS	585				hypothetical protein
BNMCHMFH_00054	CDS	1203	ce_1	5.1.3.11		Cellobiose 2-epimerase
BNMCHMFH_00055	CDS	1239	nagC		COG1846	DNA-binding transcriptional dual regulator NagC
BNMCHMFH_00056	CDS	171				hypothetical protein
BNMCHMFH_00057	CDS	297				hypothetical protein
BNMCHMFH_00058	CDS	216				hypothetical protein
BNMCHMFH_00059	CDS	654				hypothetical protein
BNMCHMFH_00060	CDS	1008	darG	3.2.2.-		DNA ADP-ribosyl glycohydrolase
BNMCHMFH_00061	CDS	276				hypothetical protein
BNMCHMFH_00062	CDS	330				hypothetical protein
BNMCHMFH_00063	CDS	1866				hypothetical protein
BNMCHMFH_00064	CDS	120				hypothetical protein
BNMCHMFH_00065	CDS	117				hypothetical protein
BNMCHMFH_00066	CDS	549				hypothetical protein
BNMCHMFH_00067	CDS	2382				hypothetical protein
BNMCHMFH_00068	CDS	240				hypothetical protein
BNMCHMFH_00069	CDS	1260	sasA_1	2.7.13.3		Adaptive-response sensory-kinase SasA
BNMCHMFH_00070	CDS	702	trcR		COG0745	Transcriptional regulatory protein TrcR
BNMCHMFH_00071	CDS	1200				hypothetical protein
BNMCHMFH_00072	CDS	717	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
BNMCHMFH_00073	CDS	2343	bamA_1			Outer membrane protein assembly factor BamA
BNMCHMFH_00074	CDS	744	rlmP	2.1.1.-	COG0566	23S rRNA (guanosine(2553)-2'-O)-methyltransferase RlmP
BNMCHMFH_00075	CDS	108				hypothetical protein
BNMCHMFH_00076	CDS	1233				hypothetical protein
BNMCHMFH_00077	CDS	1263				hypothetical protein
BNMCHMFH_00078	CDS	570	ygfA	6.3.3.2	COG0212	5-formyltetrahydrofolate cyclo-ligase
BNMCHMFH_00079	CDS	645	bioD1	6.3.3.3	COG0132	ATP-dependent dethiobiotin synthetase BioD 1
BNMCHMFH_00080	CDS	549		2.1.1.-	COG0742	RNA/DNA methyltransferase
BNMCHMFH_00081	CDS	834				hypothetical protein
BNMCHMFH_00082	CDS	795				hypothetical protein
BNMCHMFH_00083	CDS	2001				hypothetical protein
BNMCHMFH_00084	CDS	1251				hypothetical protein
BNMCHMFH_00085	CDS	1308	kgtP		COG0477	Alpha-ketoglutarate permease
BNMCHMFH_00086	CDS	639				hypothetical protein
BNMCHMFH_00087	CDS	867				hypothetical protein
BNMCHMFH_00088	CDS	351				hypothetical protein
BNMCHMFH_00089	CDS	321	nahK_1	2.7.1.162		N-acetylhexosamine 1-kinase
BNMCHMFH_00090	CDS	186				hypothetical protein
BNMCHMFH_00091	CDS	888	rhaS_1			HTH-type transcriptional activator RhaS
BNMCHMFH_00092	CDS	741				hypothetical protein
BNMCHMFH_00093	CDS	1863				hypothetical protein
BNMCHMFH_00094	CDS	3168			COG1629	TonB-dependent receptor P26
BNMCHMFH_00095	CDS	687				hypothetical protein
BNMCHMFH_00096	CDS	1161	iolG_1	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
BNMCHMFH_00097	CDS	915		5.1.3.31		D-tagatose 3-epimerase
BNMCHMFH_00098	CDS	612				hypothetical protein
BNMCHMFH_00099	CDS	963	sasA_2	2.7.13.3		Adaptive-response sensory-kinase SasA
BNMCHMFH_00100	CDS	1296				hypothetical protein
