locus_tag	ftype	length_bp	gene	EC_number	COG	product
HFNFDLHH_00001	CDS	432				hypothetical protein
HFNFDLHH_00002	CDS	939				hypothetical protein
HFNFDLHH_00003	CDS	480				hypothetical protein
HFNFDLHH_00004	CDS	1233				hypothetical protein
HFNFDLHH_00005	CDS	2649				hypothetical protein
HFNFDLHH_00006	CDS	324				hypothetical protein
HFNFDLHH_00007	CDS	363	kmtR		COG0640	HTH-type transcriptional regulator KmtR
HFNFDLHH_00008	CDS	993			COG0053	putative cation efflux system protein
HFNFDLHH_00009	CDS	645	gpm2	3.1.3.2	COG0406	Acid phosphatase
HFNFDLHH_00010	CDS	360				hypothetical protein
HFNFDLHH_00011	CDS	108				hypothetical protein
HFNFDLHH_00012	CDS	873				hypothetical protein
HFNFDLHH_00013	CDS	396				hypothetical protein
HFNFDLHH_00014	CDS	330				hypothetical protein
HFNFDLHH_00015	CDS	261				hypothetical protein
HFNFDLHH_00016	CDS	360	dnaB	5.6.2.3		Replicative DNA helicase DnaB
HFNFDLHH_00017	CDS	435				hypothetical protein
HFNFDLHH_00018	CDS	2220	recG	5.6.2.3	COG1200	ATP-dependent DNA helicase RecG
HFNFDLHH_00019	CDS	714				hypothetical protein
HFNFDLHH_00020	CDS	423				hypothetical protein
HFNFDLHH_00021	CDS	678				hypothetical protein
HFNFDLHH_00022	CDS	786	pxpA	3.5.2.9	COG1540	5-oxoprolinase subunit A
HFNFDLHH_00023	CDS	1596				hypothetical protein
HFNFDLHH_00024	CDS	630				hypothetical protein
HFNFDLHH_00025	CDS	1617	fcs_1	6.2.1.34		Feruloyl-CoA synthase
HFNFDLHH_00026	CDS	2298		1.-.-.-	COG0243	putative oxidoreductase
HFNFDLHH_00027	CDS	3150				hypothetical protein
HFNFDLHH_00028	CDS	606				hypothetical protein
HFNFDLHH_00029	CDS	1098				hypothetical protein
HFNFDLHH_00030	CDS	477				hypothetical protein
HFNFDLHH_00031	CDS	1161	dapC	2.6.1.17		putative N-succinyldiaminopimelate aminotransferase DapC
HFNFDLHH_00032	tRNA	80				tRNA-Gln(ttg)
HFNFDLHH_00033	CDS	240				hypothetical protein
HFNFDLHH_00034	CDS	276				hypothetical protein
HFNFDLHH_00035	CDS	798				hypothetical protein
HFNFDLHH_00036	CDS	963				hypothetical protein
HFNFDLHH_00037	CDS	672				hypothetical protein
HFNFDLHH_00038	CDS	1026	argC	1.2.1.38	COG0002	N-acetyl-gamma-glutamyl-phosphate reductase
HFNFDLHH_00039	CDS	255				hypothetical protein
HFNFDLHH_00040	CDS	1140				hypothetical protein
HFNFDLHH_00041	CDS	1389				hypothetical protein
HFNFDLHH_00042	CDS	1134				hypothetical protein
