locus_tag	ftype	length_bp	gene	EC_number	COG	product
GNPMAEAG_00001	CDS	1074	dapE_1	3.5.1.18	COG0624	Putative succinyl-diaminopimelate desuccinylase DapE
GNPMAEAG_00002	CDS	1311	hflX		COG2262	GTPase HflX
GNPMAEAG_00003	CDS	255				hypothetical protein
GNPMAEAG_00004	CDS	444	macB	7.6.2.-		Macrolide export ATP-binding/permease protein MacB
GNPMAEAG_00005	CDS	801	yknY	7.6.2.-	COG1136	putative ABC transporter ATP-binding protein YknY
GNPMAEAG_00006	CDS	174				hypothetical protein
GNPMAEAG_00007	CDS	462				hypothetical protein
GNPMAEAG_00008	CDS	966				hypothetical protein
GNPMAEAG_00009	CDS	468				hypothetical protein
GNPMAEAG_00010	CDS	906	brlR			Transcriptional regulator BrlR
GNPMAEAG_00011	CDS	114				hypothetical protein
GNPMAEAG_00012	CDS	450				hypothetical protein
GNPMAEAG_00013	CDS	315				hypothetical protein
GNPMAEAG_00014	CDS	171				hypothetical protein
GNPMAEAG_00015	CDS	1185	dinB_1	2.7.7.7		DNA polymerase IV
GNPMAEAG_00016	CDS	477	sigW		COG1595	ECF RNA polymerase sigma factor SigW
GNPMAEAG_00017	CDS	261				hypothetical protein
GNPMAEAG_00018	CDS	597				hypothetical protein
GNPMAEAG_00019	CDS	486				hypothetical protein
GNPMAEAG_00020	CDS	417				hypothetical protein
GNPMAEAG_00021	CDS	396	rpsI		COG0103	Small ribosomal subunit protein uS9
GNPMAEAG_00022	CDS	435	rplM			Large ribosomal subunit protein uL13
GNPMAEAG_00023	CDS	1221				hypothetical protein
GNPMAEAG_00024	CDS	1086				hypothetical protein
GNPMAEAG_00025	CDS	405				hypothetical protein
GNPMAEAG_00026	CDS	360				hypothetical protein
GNPMAEAG_00027	CDS	765	guaA_1	6.3.5.2		GMP synthase [glutamine-hydrolyzing]
GNPMAEAG_00028	CDS	1191	anmK	2.7.1.170	COG2377	Anhydro-N-acetylmuramic acid kinase
GNPMAEAG_00029	CDS	918	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
GNPMAEAG_00030	CDS	1092	glmS_1	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
GNPMAEAG_00031	CDS	1062				hypothetical protein
GNPMAEAG_00032	CDS	711	mphP	1.14.13.7	COG2871	Phenol hydroxylase P5 protein
GNPMAEAG_00033	CDS	663				hypothetical protein
GNPMAEAG_00034	CDS	465	ogt_1	2.1.1.63		Methylated-DNA--protein-cysteine methyltransferase
GNPMAEAG_00035	CDS	1614				hypothetical protein
GNPMAEAG_00036	CDS	123				hypothetical protein
GNPMAEAG_00037	CDS	2454	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
GNPMAEAG_00038	CDS	456	comEA		COG1555	ComE operon protein 1
GNPMAEAG_00039	CDS	129				hypothetical protein
GNPMAEAG_00040	CDS	798				hypothetical protein
GNPMAEAG_00041	CDS	1086	desV	2.6.1.106		dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucose transaminase
GNPMAEAG_00042	CDS	231				hypothetical protein
GNPMAEAG_00043	CDS	1014	fda	4.1.2.13	COG0191	Fructose-bisphosphate aldolase
GNPMAEAG_00044	CDS	2544				hypothetical protein
GNPMAEAG_00045	CDS	618				hypothetical protein
GNPMAEAG_00046	CDS	549				hypothetical protein
GNPMAEAG_00047	CDS	459				hypothetical protein
GNPMAEAG_00048	CDS	243				hypothetical protein
GNPMAEAG_00049	CDS	501				hypothetical protein
GNPMAEAG_00050	tRNA	73				tRNA-Ala(tgc)
GNPMAEAG_00051	CDS	243				hypothetical protein
GNPMAEAG_00052	CDS	90				hypothetical protein
GNPMAEAG_00053	CDS	303				hypothetical protein
GNPMAEAG_00054	CDS	2325	ydfJ		COG2409	Membrane protein YdfJ
GNPMAEAG_00055	CDS	207	mmpL3		COG2409	Trehalose monomycolate exporter MmpL3
GNPMAEAG_00056	CDS	189				hypothetical protein
GNPMAEAG_00057	tRNA	92				tRNA-Ser(gct)
GNPMAEAG_00058	CDS	1020	ligD_1		COG1793	Multifunctional non-homologous end joining protein LigD
GNPMAEAG_00059	CDS	1005	ligC	6.5.1.1	COG1793	DNA ligase C1
GNPMAEAG_00060	CDS	630				hypothetical protein
GNPMAEAG_00061	CDS	1113				hypothetical protein
GNPMAEAG_00062	CDS	1818	pepF	3.4.24.-	COG1164	Oligopeptidase PepF
GNPMAEAG_00063	CDS	1011	yeaW	1.14.13.239	COG4638	Carnitine monooxygenase oxygenase subunit
GNPMAEAG_00064	CDS	765	mqnC	1.21.98.1	COG1060	Cyclic dehypoxanthine futalosine synthase
GNPMAEAG_00065	CDS	858				hypothetical protein
GNPMAEAG_00066	CDS	810	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
GNPMAEAG_00067	CDS	270				hypothetical protein
GNPMAEAG_00068	CDS	534	algU_1			RNA polymerase sigma-H factor
GNPMAEAG_00069	CDS	405				hypothetical protein
GNPMAEAG_00070	CDS	801				hypothetical protein
GNPMAEAG_00071	CDS	204				hypothetical protein
