locus_tag	ftype	length_bp	gene	EC_number	COG	product
OJFBJKJH_00001	CDS	396	recB	3.1.11.5	COG1074	RecBCD enzyme subunit RecB
OJFBJKJH_00002	CDS	1422				hypothetical protein
OJFBJKJH_00003	CDS	777	groEL2	5.6.1.7	COG0459	Chaperonin GroEL 2
OJFBJKJH_00004	CDS	717	cutC			PF03932 family protein CutC
OJFBJKJH_00005	CDS	1302	pepPI	3.4.11.9		Xaa-Pro aminopeptidase 1
OJFBJKJH_00006	CDS	633				hypothetical protein
OJFBJKJH_00007	CDS	1152	setA_1		COG2814	Sugar efflux transporter A
OJFBJKJH_00008	CDS	189				hypothetical protein
OJFBJKJH_00009	CDS	813	gsiD		COG1173	Glutathione transport system permease protein GsiD
OJFBJKJH_00010	CDS	975	gsiC_1		COG0601	Glutathione transport system permease protein GsiC
OJFBJKJH_00011	CDS	1551	ddpA		COG0747	putative D,D-dipeptide-binding periplasmic protein DdpA
OJFBJKJH_00012	tRNA	75				tRNA-Met(cat)
OJFBJKJH_00013	CDS	2517	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
OJFBJKJH_00014	CDS	1095	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
OJFBJKJH_00015	CDS	864	rlmP_1	2.1.1.-	COG0566	23S rRNA (guanosine(2553)-2'-O)-methyltransferase RlmP
OJFBJKJH_00016	CDS	150	rplT		COG0292	Large ribosomal subunit protein bL20
OJFBJKJH_00017	CDS	186				hypothetical protein
OJFBJKJH_00018	CDS	411				hypothetical protein
OJFBJKJH_00019	CDS	930	rarD		COG2962	Protein RarD
OJFBJKJH_00020	CDS	972				hypothetical protein
OJFBJKJH_00021	CDS	702	rutD	3.5.1.-		Putative carbamate hydrolase RutD
OJFBJKJH_00022	CDS	471	ileS	6.1.1.5		Isoleucine--tRNA ligase
OJFBJKJH_00023	CDS	390	prrA		COG0745	Transcriptional regulatory protein PrrA
OJFBJKJH_00024	CDS	1116	sasA_1	2.7.13.3		Adaptive-response sensory-kinase SasA
OJFBJKJH_00025	CDS	708	copB	7.2.2.8	COG2217	Copper-exporting P-type ATPase B
OJFBJKJH_00026	CDS	108				hypothetical protein
OJFBJKJH_00027	CDS	1467	gltD	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
OJFBJKJH_00028	CDS	597				hypothetical protein
OJFBJKJH_00029	CDS	204	arcA	3.5.3.1		Arginase
