locus_tag	ftype	length_bp	gene	EC_number	COG	product
NIAIBKDK_00001	CDS	405				hypothetical protein
NIAIBKDK_00002	CDS	606	ywjA		COG1132	putative ABC transporter ATP-binding protein YwjA
NIAIBKDK_00003	CDS	126				hypothetical protein
NIAIBKDK_00004	CDS	360				hypothetical protein
NIAIBKDK_00005	CDS	633				hypothetical protein
NIAIBKDK_00006	CDS	111				hypothetical protein
NIAIBKDK_00007	CDS	417				hypothetical protein
NIAIBKDK_00008	CDS	654		2.7.1.-		putative ketoamine kinase
NIAIBKDK_00009	CDS	402	vapC9_1	3.1.-.-	COG4113	Ribonuclease VapC9
NIAIBKDK_00010	CDS	3642	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
NIAIBKDK_00011	CDS	156				hypothetical protein
NIAIBKDK_00012	CDS	168				hypothetical protein
NIAIBKDK_00013	CDS	93				hypothetical protein
NIAIBKDK_00014	CDS	291				hypothetical protein
NIAIBKDK_00015	CDS	1008				hypothetical protein
NIAIBKDK_00016	CDS	1251				hypothetical protein
NIAIBKDK_00017	CDS	636				hypothetical protein
NIAIBKDK_00018	CDS	600	mneA		COG2119	Putative manganese exporter
NIAIBKDK_00019	CDS	1203	larC	4.99.1.12	COG1641	Pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel insertion protein
NIAIBKDK_00020	CDS	843	menA_1	2.5.1.74		1,4-dihydroxy-2-naphthoate octaprenyltransferase
NIAIBKDK_00021	CDS	162				hypothetical protein
NIAIBKDK_00022	CDS	168				hypothetical protein
NIAIBKDK_00023	CDS	237				hypothetical protein
NIAIBKDK_00024	CDS	351				hypothetical protein
NIAIBKDK_00025	CDS	237				hypothetical protein
NIAIBKDK_00026	CDS	267	relE_1	3.1.-.-	COG2026	Toxin RelE
NIAIBKDK_00027	CDS	270	relB		COG2161	Antitoxin RelB
NIAIBKDK_00028	CDS	414				hypothetical protein
NIAIBKDK_00029	CDS	486				hypothetical protein
NIAIBKDK_00030	CDS	273				hypothetical protein
NIAIBKDK_00031	CDS	1536	pepA	3.4.11.1	COG0260	putative cytosol aminopeptidase
NIAIBKDK_00032	CDS	1152	gcvT_1	2.1.2.10	COG0404	Aminomethyltransferase
NIAIBKDK_00033	CDS	222				hypothetical protein
NIAIBKDK_00034	CDS	639				putative protein
NIAIBKDK_00035	CDS	99				hypothetical protein
NIAIBKDK_00036	CDS	393			COG0316	Protein
NIAIBKDK_00037	CDS	180				hypothetical protein
NIAIBKDK_00038	CDS	393				hypothetical protein
NIAIBKDK_00039	CDS	126				hypothetical protein
NIAIBKDK_00040	CDS	894				hypothetical protein
NIAIBKDK_00041	CDS	1290				hypothetical protein
NIAIBKDK_00042	CDS	438	osmC	1.11.1.-	COG1764	Peroxiredoxin OsmC
NIAIBKDK_00043	CDS	576	algU			RNA polymerase sigma-H factor
NIAIBKDK_00044	CDS	639				hypothetical protein
NIAIBKDK_00045	CDS	492				Alkaline shock protein 23
NIAIBKDK_00046	CDS	774				hypothetical protein
NIAIBKDK_00047	CDS	180				hypothetical protein
NIAIBKDK_00048	CDS	483				hypothetical protein
NIAIBKDK_00049	CDS	537				hypothetical protein
NIAIBKDK_00050	CDS	573				hypothetical protein
NIAIBKDK_00051	CDS	420	hspR		COG0789	Putative heat shock protein HspR
NIAIBKDK_00052	CDS	1176	dnaJ1		COG0484	Chaperone protein DnaJ 1
NIAIBKDK_00053	CDS	591	grpE		COG0576	Protein GrpE
NIAIBKDK_00054	CDS	345	dnaK			Chaperone protein DnaK
NIAIBKDK_00055	CDS	822				hypothetical protein
NIAIBKDK_00056	CDS	183				hypothetical protein
NIAIBKDK_00057	CDS	264				IS3 family transposase ISMsm7
NIAIBKDK_00058	CDS	1236			COG2826	IS30 family transposase ISPa37
